frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
302,-0.11,327.83,320.0,-0.001,0.06,29.407
303,-0.106,327.385,320.0,-0.005,0.06,29.312
304,-0.102,327.115,320.0,-0.003,0.06,29.354
305,-0.095,326.869,320.0,-0.003,0.06,29.118
306,-0.097,327.281,320.0,0.0,0.06,28.993
307,-0.099,327.298,320.0,0.001,0.06,29.114
308,-0.101,327.545,320.0,0.003,0.06,29.041
309,-0.1,327.261,320.0,-0.001,0.06,29.065
310,-0.095,326.672,320.0,-0.003,0.06,29.073
311,-0.092,326.546,320.0,0.0,0.06,29.102
312,-0.09,326.33,320.0,0.0,0.06,28.945
313,-0.087,326.147,320.0,0.0,0.06,28.879
314,-0.084,325.926,320.0,0.0,0.06,28.878
315,-0.073,325.492,320.0,0.0,0.06,29.018
316,-0.073,325.406,320.0,0.0,0.06,29.018
317,-0.066,324.942,320.0,0.0,0.06,29.097
318,-0.056,324.031,320.0,0.0,0.06,29.19
319,-0.045,323.183,320.0,0.0,0.06,29.314
320,0.03,316.8,320.0,0.0,0.06,29.427
321,0.046,316.012,320.0,0.0,0.06,29.635
322,0.057,314.898,320.0,0.0,0.06,29.784
323,0.068,314.13,320.0,0.0,0.06,29.911
324,0.079,313.281,320.0,-0.006,0.06,29.99
325,0.15,308.156,320.0,-0.064,0.059,30.119
326,0.15,309.171,320.0,-0.001,0.06,29.865
327,0.102,313.977,320.0,0.021,0.06,29.469
328,0.057,316.961,320.0,-0.0,0.06,29.699
329,0.032,318.082,320.0,0.0,0.06,29.799
330,-0.151,332.06,320.0,0.119,0.058,29.863
331,-0.16,331.772,320.0,0.016,0.06,30.059
332,-0.103,325.776,320.0,-0.035,0.059,30.614
333,-0.04,321.045,320.0,0.0,0.06,30.392
334,-0.001,319.209,320.0,-0.047,0.059,30.075
335,0.203,304.327,320.0,-0.193,0.057,29.65
336,0.159,310.186,320.0,-0.043,0.059,28.216
337,0.062,318.983,320.0,0.002,0.06,26.993
338,0.028,318.983,320.0,0.037,0.059,27.502
339,0.016,318.983,320.0,0.024,0.06,29.508
340,0.056,310.646,320.0,0.043,0.059,30.254
341,0.178,302.3,320.0,-0.107,0.058,30.639
342,0.261,296.123,320.0,-0.257,0.055,30.234
